Province,Vegetation_Type,Fire_Seasonality,Land_Use,Temperature,Oxygen,Humidity,Drought_Index
Saskatchewan,Forest,Summer,Industrial,29.00965847,19.19394516,87.60523708,394.28
Prince Edward Island,Wetland,Fall,Industrial,20.26051522,20.00201259,56.07,394.28
Newfoundland and Labrador,Wetland,Summer,Industrial,2.155347152,20.98486611,56.07,638.0587593
New Brunswick,Shrubland,Spring,Industrial,2.366588246,19.86260746,61.89659078,372.5233704
Nova Scotia,Forest,Fall,Industrial,8.07161164,19.45143742,51.75008806,97.65002432
Manitoba,Forest,Fall,Residential,24.37092948,20.26333469,56.07,22.05063246
Newfoundland and Labrador,Grassland,Summer,Agricultural,22.54821729,19.99,14.96741747,132.2039184
New Brunswick,Grassland,Summer,Agricultural,7.294813583,19.70628289,24.51920865,359.9755124
Alberta,Shrubland,Fall,Commercial,19.56794341,19.94065066,59.17389518,95.03906137
Quebec,Grassland,Winter,Residential,32.92748447,20.57615729,27.36333004,556.5146663
British Columbia,Forest,Fall,Commercial,9.943302909,19.40334166,52.46796108,298.2331901
Saskatchewan,Wetland,Fall,Industrial,34.30718346,19.93433867,82.24071917,568.0990098
Quebec,Wetland,Spring,Commercial,31.84934116,19.99,36.69561082,64.82221727
Quebec,Wetland,Winter,Industrial,23.95571669,20.73133893,44.80345963,423.0463744
Nova Scotia,Grassland,Spring,Agricultural,30.19859415,19.37199888,44.25331992,344.2252972
Manitoba,Forest,Summer,Agricultural,-3.888755489,20.61749341,23.37214784,429.5726334
Newfoundland and Labrador,Grassland,Fall,Agricultural,-1.409797486,20.23137929,99.17265812,646.2565414
Saskatchewan,Forest,Fall,Residential,4.153448855,19.35654543,56.07,413.3154095
British Columbia,Grassland,Fall,Commercial,-6.294024337,20.73078444,63.22924753,71.30729211
Manitoba,Forest,Summer,Industrial,1.829662064,20.72047937,21.0854356,40.5748885
British Columbia,Wetland,Fall,Residential,-4.364926599,20.18677811,77.72679736,532.2355208
New Brunswick,Shrubland,Summer,Commercial,20.60211704,20.01242942,38.0999465,340.7400609
Alberta,Shrubland,Fall,Residential,25.53308724,20.32720437,89.47889592,0.798201946
Saskatchewan,Shrubland,Winter,Agricultural,28.2679181,20.83772521,27.24967562,432.241332
Ontario,Forest,Fall,Industrial,12.06734183,19.96267444,84.04255848,394.28
Saskatchewan,Wetland,Winter,Commercial,33.46617596,19.70769065,80.10588657,427.527545
Saskatchewan,Forest,Summer,Residential,9.922125932,19.2510789,86.95331353,3.399949028
Manitoba,Forest,Fall,Residential,3.452990464,20.21523745,24.49590535,235.126975
Prince Edward Island,Wetland,Fall,Residential,29.66435478,20.48305716,59.32928245,82.56778204
Ontario,Wetland,Summer,Commercial,6.001100618,19.03548998,48.70030128,193.9832676
British Columbia,Forest,Fall,Residential,30.9860838,19.54098153,56.07,9.243704073
Nova Scotia,Shrubland,Winter,Industrial,22.48938481,19.62684352,18.0303728,581.2712803
Alberta,Grassland,Winter,Residential,13.42984354,19.65012591,95.70493465,133.0722215
Nova Scotia,Forest,Spring,Agricultural,-2.00759609,20.9178906,86.73596201,711.3539409
Newfoundland and Labrador,Shrubland,Fall,Agricultural,33.45782574,20.04015092,25.49364923,473.0690194
Ontario,Shrubland,Fall,Residential,3.860261503,19.59830638,38.16503494,546.8413936
Newfoundland and Labrador,Shrubland,Summer,Agricultural,12.94,19.15208422,22.32756341,304.7393129
Alberta,Forest,Spring,Agricultural,21.62057943,19.81017959,63.92003247,259.9304934
Nova Scotia,Wetland,Fall,Agricultural,3.680026441,19.99,67.91105349,742.1419446
Quebec,Forest,Winter,Commercial,31.71580573,20.71164457,23.53140247,421.467088
British Columbia,Forest,Fall,Industrial,-4.043715289,19.94768913,51.99637064,307.0489516
Ontario,Grassland,Fall,Commercial,13.89810474,19.92670149,56.68738426,213.3723683
Saskatchewan,Forest,Summer,Commercial,25.02747672,19.73331421,47.38172984,445.5818195
Saskatchewan,Forest,Spring,Agricultural,34.72110282,19.99,74.86035448,791.0931206
Alberta,Wetland,Summer,Residential,13.42642054,19.9190121,86.09655892,624.7392967
Alberta,Forest,Spring,Commercial,-2.10399894,20.1882304,47.12111447,96.97944475
Newfoundland and Labrador,Forest,Summer,Residential,24.58099123,19.99,39.44287943,354.9434331
Alberta,Grassland,Spring,Industrial,16.88289038,19.98818591,83.75072166,10.22815324
Saskatchewan,Forest,Winter,Residential,-7.151743397,19.99,56.07,630.2503954
Nova Scotia,Shrubland,Spring,Industrial,15.02640439,20.28396809,55.72580964,394.28
Manitoba,Grassland,Fall,Residential,34.59839247,19.41929136,54.33812679,210.7978875
Newfoundland and Labrador,Forest,Spring,Residential,12.94,19.09340635,77.08769491,253.5516683
Prince Edward Island,Forest,Spring,Industrial,2.805228353,20.55403825,27.8903154,394.28
Ontario,Forest,Fall,Industrial,2.870485288,20.60878775,35.15742327,372.203456
Saskatchewan,Forest,Spring,Residential,15.92077466,20.84922303,63.17498506,713.4466239
Prince Edward Island,Forest,Fall,Commercial,12.94,19.32578874,40.67536055,583.0872228
Ontario,Forest,Spring,Residential,2.182843143,20.82498717,56.07,394.28
Prince Edward Island,Grassland,Summer,Residential,28.1362505,19.32484565,18.84193733,556.6374651
Saskatchewan,Forest,Summer,Residential,17.90458617,19.95987646,11.94885496,690.4315062
Alberta,Forest,Winter,Industrial,7.65666562,20.94268847,41.12864544,626.9157473
Saskatchewan,Shrubland,Fall,Industrial,-4.237029892,20.29770564,30.50476066,282.3385362
Manitoba,Forest,Spring,Commercial,20.34565205,20.23741351,66.1068123,514.6582269
New Brunswick,Forest,Summer,Industrial,0.536502395,20.05438757,32.95396746,186.8892054
New Brunswick,Forest,Spring,Commercial,9.147929645,19.99,71.21351359,407.6279258
Ontario,Grassland,Fall,Agricultural,33.74445972,20.90278504,35.551143,42.60606771
Manitoba,Grassland,Spring,Agricultural,2.90955502,20.59051241,46.86089728,394.28
Saskatchewan,Forest,Fall,Commercial,10.85243463,19.2298479,29.27893415,526.3075347
Saskatchewan,Wetland,Fall,Industrial,17.39294811,19.53229686,98.62116031,635.1998176
Manitoba,Grassland,Spring,Residential,-6.408157232,19.15172906,56.07,367.6232039
Ontario,Forest,Winter,Commercial,15.2314538,19.50644155,68.75739123,528.1885083
Saskatchewan,Wetland,Winter,Commercial,21.82674581,19.10283276,58.42015746,607.0904109
Saskatchewan,Wetland,Spring,Residential,-9.178984689,20.70152067,48.57196639,51.02188076
Saskatchewan,Grassland,Spring,Commercial,21.04395277,20.03088941,56.07,117.5153514
British Columbia,Wetland,Fall,Commercial,1.131382257,19.07531861,58.77555434,795.9601006
Alberta,Shrubland,Winter,Industrial,-4.016886587,20.90905358,23.17015774,394.28
Ontario,Wetland,Summer,Residential,5.043985634,19.75868116,56.07,475.2869568
Manitoba,Shrubland,Fall,Agricultural,12.94,20.98799778,87.36548391,303.4459789
Ontario,Shrubland,Fall,Commercial,16.18399514,20.98683938,56.07,168.8347353
Manitoba,Forest,Summer,Industrial,31.75068826,19.78411637,82.95250659,167.3436529
Saskatchewan,Grassland,Spring,Industrial,-7.38303577,20.24976384,92.23240447,183.2345335
Prince Edward Island,Wetland,Fall,Commercial,13.04550471,19.69730079,84.96359373,264.6791066
Alberta,Grassland,Summer,Agricultural,21.93554922,20.9707407,44.32361712,195.8473085
Quebec,Forest,Summer,Residential,28.89585125,20.58440303,25.07120483,183.0085337
British Columbia,Shrubland,Spring,Industrial,-7.420227463,20.04608777,56.07,583.3750356
Prince Edward Island,Grassland,Summer,Commercial,12.94,20.76268896,80.8613221,427.9964099
New Brunswick,Grassland,Spring,Industrial,-3.953663502,19.20958615,92.02854948,466.4476052
British Columbia,Grassland,Fall,Commercial,34.63593748,19.34884511,26.04401517,325.6361007
Nova Scotia,Shrubland,Summer,Residential,16.9830442,19.985668,56.7364991,6.712940154
Nova Scotia,Grassland,Fall,Industrial,12.5357262,20.70859757,69.22011276,603.8837162
New Brunswick,Grassland,Summer,Residential,15.49958114,20.40980136,49.03519227,528.9283672
New Brunswick,Grassland,Winter,Industrial,4.239503506,19.99,27.1327008,732.7847784
New Brunswick,Wetland,Fall,Industrial,30.00441024,20.77463137,31.24414055,605.460758
Quebec,Wetland,Spring,Industrial,-3.792206119,20.56073914,80.21646786,72.94529678
Prince Edward Island,Forest,Fall,Residential,33.75349053,19.33300168,10.38936728,642.7559393
Newfoundland and Labrador,Grassland,Spring,Agricultural,-9.687787185,19.99,23.20864312,120.4445567
Newfoundland and Labrador,Wetland,Winter,Commercial,12.21891521,19.79940119,51.29912414,615.376068
Alberta,Grassland,Fall,Agricultural,20.41670626,19.11157611,49.68617453,122.7685153
Newfoundland and Labrador,Shrubland,Winter,Residential,18.13198177,19.18032687,81.66935727,395.1354504
Saskatchewan,Shrubland,Summer,Commercial,-5.488600276,19.88245766,60.53459013,425.9770502
Ontario,Forest,Spring,Residential,3.630794042,20.30461057,79.78613033,678.3969413
Manitoba,Forest,Winter,Industrial,-3.525316626,20.60140869,65.58394016,773.0618014
Quebec,Forest,Summer,Agricultural,12.94,19.99,73.91281021,583.6594518
Prince Edward Island,Shrubland,Fall,Residential,11.75074803,19.1805046,62.22965942,347.8429602
Alberta,Wetland,Fall,Industrial,33.20965169,20.67589962,40.27886438,728.2135776
Nova Scotia,Wetland,Summer,Industrial,29.73628526,19.48296257,91.99134998,600.2358921
Quebec,Grassland,Summer,Industrial,25.15322632,19.84992274,87.2967856,68.01906853
Ontario,Forest,Spring,Agricultural,-1.208483844,19.87546905,70.96411978,41.53113303
Newfoundland and Labrador,Shrubland,Summer,Commercial,-1.877853553,20.32108987,16.08716748,394.28
Nova Scotia,Forest,Spring,Residential,20.16193127,19.02910597,66.47105533,501.873874
Ontario,Wetland,Winter,Agricultural,10.75231557,19.70414163,41.02742749,703.7124389
Alberta,Grassland,Fall,Residential,4.578379507,19.76454028,69.9540002,157.4902317
Newfoundland and Labrador,Shrubland,Summer,Residential,-7.101264933,20.46344516,14.51306484,84.30838801
Ontario,Shrubland,Winter,Industrial,8.404806442,19.15174009,28.77969093,192.9712115
Nova Scotia,Grassland,Winter,Industrial,-8.39855094,20.36098502,67.20997576,479.8135039
Alberta,Shrubland,Fall,Industrial,-2.101628678,20.49132076,82.68424328,574.363505
Newfoundland and Labrador,Forest,Spring,Commercial,31.18689432,19.99,15.71877744,18.98074151
Saskatchewan,Shrubland,Winter,Commercial,12.94,19.4222045,56.07,703.5662791
Newfoundland and Labrador,Forest,Fall,Industrial,33.99145587,20.84396075,56.07,643.2274507
Newfoundland and Labrador,Shrubland,Winter,Commercial,12.94,19.69939944,40.90036214,2.753456938
Saskatchewan,Shrubland,Winter,Residential,9.008702068,19.49339817,50.52851191,427.1386575
Alberta,Forest,Winter,Residential,3.367597756,19.95423109,26.90796238,283.053762
Saskatchewan,Grassland,Spring,Industrial,28.93846336,19.63411484,43.5617657,650.4640451
Saskatchewan,Forest,Winter,Agricultural,-0.65667797,20.59024699,35.30144606,571.4044119
Alberta,Grassland,Fall,Industrial,25.58955941,19.39574115,34.62686796,547.603681
Manitoba,Wetland,Winter,Residential,21.30659801,20.7520212,98.91609056,643.6363577
Ontario,Grassland,Winter,Agricultural,15.88817858,20.89605471,41.24050833,526.9821996
Saskatchewan,Forest,Winter,Residential,23.34230451,19.67560951,56.07,25.43424535
Nova Scotia,Forest,Fall,Commercial,28.2587356,19.75286026,65.85478442,526.6826398
Prince Edward Island,Forest,Summer,Agricultural,25.82747205,19.99,61.84355784,562.2541987
New Brunswick,Forest,Winter,Agricultural,20.1945066,20.33967375,76.71497541,138.5174928
Ontario,Wetland,Summer,Agricultural,12.94,19.47084921,65.18512707,613.7751791
Nova Scotia,Forest,Fall,Agricultural,-7.064935973,20.91483852,96.52738868,575.4665216
Alberta,Forest,Fall,Commercial,3.986583916,20.4565824,50.94967805,307.8956093
Quebec,Forest,Winter,Commercial,14.19151084,20.68129838,17.93679668,615.1722577
Saskatchewan,Forest,Winter,Industrial,19.01534149,20.61746739,38.04357044,49.78687169
Nova Scotia,Grassland,Spring,Commercial,23.69380055,20.91760047,22.05435871,151.7492832
New Brunswick,Shrubland,Fall,Agricultural,28.86087407,19.99,61.53758043,183.001252
Nova Scotia,Shrubland,Spring,Industrial,6.367482738,20.69058593,83.50632975,608.1912567
Alberta,Shrubland,Winter,Industrial,8.902609937,19.74635075,56.07,132.5359268
Nova Scotia,Wetland,Summer,Industrial,21.2085806,19.28168954,81.01917089,394.28
Saskatchewan,Forest,Winter,Residential,6.00606192,19.12429422,45.00701793,132.7008856
Newfoundland and Labrador,Wetland,Fall,Agricultural,29.19878761,20.04808846,27.58265656,387.043478
Newfoundland and Labrador,Wetland,Spring,Commercial,-3.855574194,19.22686397,61.88553937,394.28
Ontario,Shrubland,Fall,Residential,-5.193604062,20.57005994,80.46183857,394.28
British Columbia,Shrubland,Summer,Agricultural,34.66473004,20.95680765,23.44386355,411.8577297
British Columbia,Forest,Winter,Industrial,28.97562692,19.7656565,56.07,666.7487438
Saskatchewan,Shrubland,Fall,Agricultural,34.41632904,20.24997276,87.76696032,19.15691602
Ontario,Shrubland,Fall,Commercial,-8.480645524,20.57604397,38.14329944,441.0327368
Newfoundland and Labrador,Forest,Winter,Industrial,27.24880074,20.14079158,45.28265508,677.3250189
Saskatchewan,Wetland,Spring,Agricultural,29.92453465,20.00977669,45.63855544,168.8518513
British Columbia,Grassland,Fall,Residential,16.4052823,19.02468893,89.8227647,394.28
Alberta,Forest,Fall,Residential,5.389822781,20.24645538,80.6978241,777.4715555
Manitoba,Grassland,Fall,Residential,-5.876595671,19.61073021,57.13843588,569.1186722
Newfoundland and Labrador,Shrubland,Winter,Industrial,4.065830831,19.83147678,92.12755279,715.9326697
Alberta,Forest,Spring,Industrial,11.08042884,19.01218407,48.10438838,327.8802225
New Brunswick,Grassland,Fall,Industrial,-0.45146598,19.52240469,82.2866342,487.7719015
Manitoba,Shrubland,Winter,Industrial,17.86300184,19.7860531,93.62712328,211.3863143
Quebec,Forest,Fall,Industrial,14.8790897,19.04817577,91.09476295,52.10475771
Prince Edward Island,Wetland,Summer,Industrial,3.69096803,20.76709073,56.07,312.4482991
Ontario,Grassland,Winter,Commercial,4.045463059,19.79427214,54.53037545,729.8903587
Newfoundland and Labrador,Forest,Fall,Industrial,24.36280547,20.81543501,23.29026354,271.4107191
Saskatchewan,Forest,Summer,Industrial,5.644338988,19.99777448,85.02785358,696.3198364
Saskatchewan,Wetland,Fall,Industrial,-1.774633206,19.99234409,97.95493762,21.36445106
Saskatchewan,Grassland,Fall,Industrial,12.94,19.80071084,19.2359853,606.0846988
Alberta,Grassland,Fall,Industrial,19.19766608,20.93991024,98.16398632,107.7740797
New Brunswick,Grassland,Winter,Industrial,22.63901122,20.41965255,82.4449634,609.0352023
Quebec,Forest,Winter,Residential,33.27647792,20.45452466,19.42926149,778.4599606
Newfoundland and Labrador,Forest,Fall,Agricultural,32.83523862,20.95673938,21.05696999,491.4962836
New Brunswick,Wetland,Fall,Commercial,2.452851059,20.17589836,43.28473534,131.7557759
Saskatchewan,Wetland,Fall,Industrial,16.68004153,19.6904692,48.90281479,394.28
Newfoundland and Labrador,Shrubland,Fall,Agricultural,22.93720098,19.55382217,57.94539343,715.9118581
Manitoba,Forest,Fall,Commercial,12.94,20.81380416,61.62376751,219.7753897
Alberta,Shrubland,Fall,Industrial,12.94,19.03654772,53.48708243,58.09054793
Prince Edward Island,Forest,Spring,Residential,-0.980683794,20.11562276,98.64305116,334.3837473
Saskatchewan,Wetland,Summer,Industrial,23.84344166,19.99,30.78239637,735.8351175
British Columbia,Wetland,Winter,Commercial,-4.000478569,19.94816525,94.46041932,183.9082068
Quebec,Shrubland,Spring,Industrial,-0.048421114,19.29083446,62.8070251,439.696102
Newfoundland and Labrador,Grassland,Spring,Industrial,16.21084518,19.54356893,77.45644217,9.496554102
Saskatchewan,Wetland,Winter,Residential,6.165462193,20.65625845,65.64121407,497.4314784
Saskatchewan,Grassland,Fall,Agricultural,23.59866727,19.91834211,47.29061692,634.6249949
British Columbia,Forest,Winter,Commercial,12.49101756,20.40384103,10.30420003,720.7642185
Saskatchewan,Forest,Spring,Industrial,-0.725093034,19.21591237,45.11641808,347.8085833
Alberta,Forest,Spring,Industrial,18.67764929,20.22444328,43.82457676,458.1522026
Nova Scotia,Grassland,Fall,Residential,19.68622264,19.14566817,18.28958235,125.8189174
British Columbia,Wetland,Fall,Commercial,8.490899152,20.54943128,70.93462508,394.8404827
New Brunswick,Forest,Fall,Industrial,21.53231153,20.1866134,56.07,289.817613
Saskatchewan,Shrubland,Summer,Commercial,15.03330769,20.16242405,92.85756849,394.28
Prince Edward Island,Shrubland,Summer,Industrial,18.64781278,20.4457705,56.07,394.28
Saskatchewan,Grassland,Fall,Residential,7.822334448,19.99,87.5948872,394.284137
Newfoundland and Labrador,Forest,Spring,Residential,34.15394102,20.72901444,75.24400786,48.24017896
Prince Edward Island,Forest,Winter,Residential,-4.794075664,19.36729086,56.07,266.6250984
Newfoundland and Labrador,Wetland,Spring,Industrial,-6.353207082,20.71125776,81.21773336,420.6418011
Ontario,Forest,Spring,Industrial,-8.044695296,19.17463388,35.95492511,672.11024
British Columbia,Wetland,Fall,Industrial,16.14821184,19.79448084,54.44748155,528.2898179
Saskatchewan,Forest,Summer,Industrial,21.00458292,20.52100739,44.29789815,324.4946304
Ontario,Forest,Fall,Commercial,33.4096042,20.85310803,73.91431709,452.8606721
Alberta,Forest,Spring,Commercial,16.49109431,19.0648214,96.89882096,394.28
Saskatchewan,Forest,Spring,Commercial,12.94,19.91800978,69.17484107,216.6926768
Saskatchewan,Wetland,Summer,Agricultural,12.94,19.25721056,62.91030391,394.28
Manitoba,Forest,Fall,Agricultural,-9.634724295,20.42312968,47.88916114,710.4850299
Saskatchewan,Wetland,Winter,Commercial,29.71631009,19.84130097,78.09461018,515.113328
Quebec,Shrubland,Summer,Agricultural,34.66437042,20.0180022,64.78708926,394.28
Nova Scotia,Forest,Winter,Industrial,31.65237677,20.61783162,58.93945187,563.8090972
Manitoba,Forest,Summer,Agricultural,34.94073268,19.99,57.32914187,71.79858494
Saskatchewan,Forest,Spring,Industrial,33.37089241,19.23337727,56.59055452,50.9653315
Ontario,Forest,Spring,Industrial,26.83908258,19.12980565,15.58159224,394.28
Prince Edward Island,Shrubland,Summer,Industrial,2.477703217,20.74989819,92.94239219,439.9524831
Saskatchewan,Forest,Spring,Residential,30.00587287,20.44043127,73.55053739,387.5675801
Ontario,Grassland,Summer,Commercial,12.94,20.39651983,19.28024102,226.6613221
New Brunswick,Grassland,Fall,Industrial,0.298700076,19.69324168,75.85497955,85.74637843
Saskatchewan,Shrubland,Fall,Industrial,6.684199417,19.39287637,32.77926132,394.28
Prince Edward Island,Forest,Winter,Industrial,-9.628911248,20.42748068,13.4881509,669.6289762
Saskatchewan,Forest,Summer,Agricultural,7.650901752,20.70962209,88.97132792,699.9904308
Prince Edward Island,Shrubland,Fall,Agricultural,0.112481018,20.32113865,69.91176624,394.28
British Columbia,Wetland,Fall,Agricultural,12.94,19.57352953,10.86953435,65.96724272
Saskatchewan,Wetland,Fall,Commercial,13.49646095,19.33715233,26.16378746,229.941711
British Columbia,Grassland,Fall,Agricultural,14.03636276,19.05885963,56.07,603.9946113
Prince Edward Island,Wetland,Spring,Commercial,12.94,19.56554624,16.42289906,250.9090273
Saskatchewan,Wetland,Fall,Industrial,12.94,20.63583608,81.19905627,696.399348
British Columbia,Wetland,Spring,Agricultural,5.717772429,20.93550522,74.69896536,365.7307455
Prince Edward Island,Forest,Spring,Industrial,29.78587615,20.66489261,72.4195781,583.9050582
Manitoba,Grassland,Winter,Industrial,0.872944653,20.07722819,17.09372662,208.2684939
Quebec,Shrubland,Fall,Commercial,32.34949508,20.61538295,56.07,688.5129067
Saskatchewan,Shrubland,Winter,Industrial,2.671575054,19.36625843,88.28986402,159.7117576
Nova Scotia,Forest,Spring,Residential,34.05928812,20.78343652,38.56440037,568.7422988
Alberta,Grassland,Fall,Agricultural,25.86699875,20.68160579,21.03992993,629.7424408
Saskatchewan,Grassland,Fall,Residential,32.13971286,19.65015705,10.00160752,153.2139238
Saskatchewan,Shrubland,Summer,Industrial,-1.836514908,20.56488732,83.55191952,669.8112501
British Columbia,Shrubland,Winter,Commercial,3.721105756,19.37806148,93.75355878,286.4146429
Quebec,Grassland,Fall,Commercial,12.94,19.96200605,79.76428711,588.5312661
Manitoba,Forest,Winter,Commercial,13.04982565,20.04026461,91.00882803,344.2332986
Saskatchewan,Grassland,Winter,Industrial,-2.663659296,19.99,68.98695851,339.5640127
Nova Scotia,Forest,Fall,Industrial,13.12910437,20.44046788,45.37276264,382.7269782
Saskatchewan,Shrubland,Fall,Industrial,9.232463814,20.46056035,56.07,130.09674
Newfoundland and Labrador,Grassland,Fall,Industrial,9.902672556,19.45541124,63.54568316,434.6880637
Prince Edward Island,Shrubland,Winter,Industrial,34.37717434,19.29684735,68.64110506,88.69153101
Manitoba,Grassland,Summer,Industrial,13.32733882,19.71029021,81.24737546,361.728408
Manitoba,Forest,Winter,Commercial,0.856724066,20.49191479,10.93623749,539.1166498
British Columbia,Grassland,Winter,Commercial,-7.74447879,20.52558328,86.05289193,394.28
Alberta,Grassland,Summer,Residential,25.92207839,20.42165462,70.12722581,754.4766007
New Brunswick,Wetland,Fall,Industrial,19.92238328,19.61369566,78.03108707,447.9821588
Quebec,Wetland,Spring,Agricultural,7.595025516,19.26959363,56.07,798.2549686
Alberta,Forest,Spring,Agricultural,-2.367206512,20.13335386,60.06723093,521.3382651
Saskatchewan,Wetland,Summer,Industrial,23.32187835,19.28819819,13.06542102,778.1840469
Quebec,Forest,Spring,Residential,15.26837832,20.99626817,56.07,121.5791567
Newfoundland and Labrador,Shrubland,Summer,Residential,33.1296079,19.56641698,64.21871005,211.9497451
Ontario,Wetland,Fall,Industrial,11.62984454,20.4545948,56.07,549.0727789
Ontario,Forest,Winter,Industrial,30.58448266,19.85654458,88.63948853,790.8681831
Prince Edward Island,Forest,Winter,Commercial,7.313186286,19.99,72.57156804,498.4405556
New Brunswick,Wetland,Fall,Agricultural,7.723206215,19.99,34.81343626,238.4389707
Saskatchewan,Wetland,Spring,Commercial,13.87236858,19.7780949,88.94877732,394.28
British Columbia,Wetland,Spring,Industrial,12.94,19.95864247,90.94105213,172.659664
Nova Scotia,Grassland,Summer,Agricultural,20.37522183,19.33149846,31.70381294,587.00327
Quebec,Wetland,Fall,Agricultural,27.76582953,19.75088821,10.88661803,799.7248017
Saskatchewan,Wetland,Winter,Commercial,12.94,19.541433,80.38794734,274.003484
New Brunswick,Forest,Winter,Commercial,-2.653352317,19.39895407,94.4718828,234.6826089
Newfoundland and Labrador,Shrubland,Summer,Residential,29.3545472,20.25767889,43.5773522,672.9079531
Ontario,Grassland,Spring,Industrial,0.763344427,20.24296918,40.44490672,757.5472365
Saskatchewan,Wetland,Summer,Industrial,8.641476558,20.27204268,16.22826583,763.5594545
New Brunswick,Grassland,Spring,Agricultural,12.94,19.03746935,21.39712645,597.5618086
Quebec,Grassland,Summer,Agricultural,13.25498888,19.68321283,16.98396253,310.4645107
Ontario,Grassland,Fall,Residential,30.43949364,19.15558455,59.9280094,281.3991194
Saskatchewan,Forest,Spring,Industrial,31.46161904,20.54665095,57.09361983,365.3197387
Newfoundland and Labrador,Shrubland,Fall,Industrial,17.21297671,20.67457298,26.35475043,565.6039906
Nova Scotia,Wetland,Spring,Commercial,-0.176621556,19.69679863,68.38851116,251.1332648
New Brunswick,Forest,Fall,Residential,22.57260217,20.87950775,99.52496833,673.8270146
Quebec,Forest,Fall,Agricultural,12.94,20.11767599,84.2693724,537.0306905
Quebec,Shrubland,Summer,Commercial,21.81558652,19.68582625,56.07,213.4503061
British Columbia,Wetland,Spring,Residential,26.71985099,20.61942909,80.14773869,103.304701
Manitoba,Wetland,Summer,Residential,0.904732903,20.77559353,61.63436358,472.7737112
New Brunswick,Shrubland,Fall,Agricultural,12.94,20.94549274,93.90715247,394.28
Saskatchewan,Forest,Fall,Industrial,17.39059278,19.02235569,41.03919895,648.0911514
British Columbia,Grassland,Fall,Residential,-6.09994202,20.6421003,40.73109071,132.3141989
Prince Edward Island,Forest,Fall,Industrial,25.92523062,19.05953321,79.15819989,429.176412
British Columbia,Shrubland,Winter,Residential,-6.847016825,20.76991324,37.61822726,56.51847308
Saskatchewan,Shrubland,Summer,Industrial,32.49195571,20.53689961,49.86388489,394.28
British Columbia,Wetland,Winter,Residential,12.94,19.66936904,41.37893714,437.1013649
Ontario,Forest,Winter,Commercial,3.198859677,19.91603382,23.97834062,134.2902955
Saskatchewan,Shrubland,Summer,Industrial,5.527106566,20.44068037,37.03432734,63.6992187
Saskatchewan,Grassland,Fall,Industrial,12.94,19.58585347,81.16566443,387.7153989
Manitoba,Forest,Summer,Commercial,1.960669472,19.77199066,77.60771511,25.36515959
New Brunswick,Grassland,Spring,Residential,12.94,19.79199371,29.52297589,218.9699645
British Columbia,Forest,Fall,Residential,12.94,19.73794163,13.4021136,394.28
Alberta,Forest,Summer,Residential,10.7428092,20.93087789,15.20016719,336.6118248
Ontario,Shrubland,Spring,Agricultural,7.747642363,19.99,19.23278352,374.1601288
Nova Scotia,Forest,Summer,Residential,30.59335081,20.98792376,29.78295904,718.8029619
Quebec,Grassland,Fall,Agricultural,18.10607887,19.82155577,84.72819565,219.8928568
Prince Edward Island,Grassland,Summer,Agricultural,-2.752113371,19.59503883,95.93268605,394.28
Saskatchewan,Grassland,Fall,Commercial,20.09325671,20.90777734,33.2457671,419.2855888
Saskatchewan,Forest,Fall,Residential,16.05180339,20.57602921,14.8937013,484.7839648
British Columbia,Shrubland,Spring,Industrial,2.326589492,20.04603362,96.32498891,394.28
Nova Scotia,Forest,Fall,Residential,29.58295034,19.99,18.29183085,601.1883752
Alberta,Grassland,Spring,Residential,0.130801418,19.11895372,44.57777706,622.5476187
Nova Scotia,Shrubland,Fall,Industrial,22.54468557,20.90744727,99.89476542,677.4834863
Quebec,Forest,Fall,Residential,20.56299489,19.02599075,83.12934282,59.49508286
Saskatchewan,Grassland,Summer,Agricultural,-9.35042065,20.24957536,76.00356255,489.0993508
Saskatchewan,Wetland,Summer,Residential,-5.510533442,20.56827407,37.06191962,754.9464598
Saskatchewan,Forest,Fall,Industrial,9.020299646,19.64802899,24.01998347,418.3000903
British Columbia,Forest,Summer,Industrial,-8.163822637,20.2072974,50.70816465,728.5292907
Manitoba,Wetland,Winter,Agricultural,12.94,20.83961632,71.11665066,43.14407749
Saskatchewan,Wetland,Summer,Agricultural,32.43543345,20.02179638,74.58419506,714.9795824
Ontario,Forest,Winter,Industrial,-6.208764994,19.97375731,82.47238014,145.9085221
Prince Edward Island,Forest,Spring,Industrial,0.064950092,20.12416557,54.40195405,671.1629911
Alberta,Forest,Summer,Industrial,9.827521049,20.5756152,71.46939844,482.6310998
Quebec,Grassland,Spring,Industrial,30.75396557,19.00484143,95.36428212,30.24302989
Saskatchewan,Shrubland,Winter,Agricultural,23.3266507,20.2008664,91.18880897,313.5924591
Saskatchewan,Wetland,Spring,Residential,15.2774356,20.36422321,32.44720109,619.05777
Saskatchewan,Shrubland,Fall,Agricultural,18.01476447,20.07016951,22.52138353,73.03189384
Nova Scotia,Wetland,Summer,Industrial,3.100912468,20.37150601,78.87094677,609.235909
Manitoba,Shrubland,Winter,Commercial,21.71806236,19.99,58.62245595,362.726709
Saskatchewan,Forest,Spring,Industrial,-4.039826079,19.37795383,84.35524208,142.6271233
Prince Edward Island,Grassland,Summer,Industrial,7.389193383,19.10164512,58.46032025,3.732415794
Saskatchewan,Forest,Winter,Residential,-6.11006179,19.38712695,56.05438641,559.4764615
Saskatchewan,Forest,Spring,Industrial,33.37657644,20.7674311,64.17310575,177.1356351
